Script#19				
blank	-	-	돌아보자 웬 어린애가 작은 약병을 들고 진지하게 날 위협하고 있었다.	
karldrich	-	칼드리치	……그건 뭐냐?	
*	Glos	Person	3	1
curi	-	???	<color=red>또</color> 돈을 바라고 나쁜 짓을 하러 온 거라면 헛수고야.^어차피 그 사람은 날 그렇게 신경 쓰는 위인도 아니라니까 그러네…….	
curi	-	???	무엇보다, 이제 난 스스로를 지킬 수 있어.^이 안에는 닿으면 살이 녹아내리는 위험한 약이 들어 있거든.^다가오면 집어던질 거야.	
karldrich	-	칼드리치	세상에 그런 약이 어디 있어?	
curi	-	???	못 믿겠으면 한번 맞아 볼래?^안 그래도 진짜 사람한테는 실험을 못 해봤는데.	
blank	-	-	안에 든 게 뭔지는 몰라도 한 벌밖에 없는 옷이 젖으면 귀찮아지겠지.^이 집 애 같은데, 더 성질을 긁지 않는 게 낫겠다.	
*	BGM	Script_Normal		
karldrich	-	칼드리치	흠흠. 내 이름은 칼드리치 플레임.^루키어스 하스켈이라는 녀석과 함께 주인 양반의 손님으로 와 있다.	
curi	-	???	루키 오빠요? 그런 말은 못 들었는데…….	
blank	-	-	뭐냐, 금수저 녀석이랑 일행인 걸 아니 바로 존댓말로 바뀌잖아.	
karldrich	-	칼드리치	그놈과 아는 사이라면 잘 됐군.^어쨌든 너한테 딱히 무슨 짓을 할 생각은 없어.^다가오지 말라니까 난 돌아간다.	
curi	-	???	그, 그러시죠.	
blank	-	-	어느새 시간이 꽤 지나 있었기 때문에 일단 응접실로 돌아가기로 했다.	
*	FO			
*	BG	MeetingRoom		
*	FI			
lucius	-	루키어스	마침 잘 왔군. 나와 함께 슈미트 씨를 돕지 않겠나?	
schmitt	-	슈미트	하스켈 경이라면 그냥 계셔도 괜찮은데 그러시는군요.	
lucius	-	루키어스	아무리 그래도 가만히 있을 수는 없지요.	
blank	-	-	자리를 비운 틈에 안 해도 될 일을 떠맡다니.^난 괜히 자리를 비웠다고 후회하며 도로 앉았다.	
karldrich	-	칼드리치	어떤 일인데?	
lucius	-	루키어스	주변의 늑대인간들을 쫓아 달라고 하시는군.	
schmitt	-	슈미트	요즘 극성을 부려 골치입니다.	
schmitt	-	슈미트	옛날부터 인간들과 사이가 나쁘긴 했지만, 얼마 전까지만 해도 자기들끼리 조용히 사냥을 하면서 살고 있었는데…….	
schmitt	-	슈미트	며칠 전에도 조달 중이던 광석들을 약탈했다더군요.^그놈들은 기술이 없어 쓰지도 못할 텐데 대체 뭘 하려는 건지 원.	
blank	-	-	그렇다면 직접 쓸 게 아니라 생계를 위해 팔려는 거겠지.	
lucius	-	루키어스	괘씸한 녀석들이군요. 선량한 사람의 물건을 털어가다니.	
blank	-	-	난 자리에서 일어나 루키어스의 어깨를 짚고 나지막하게 말했다.	
karldrich	-	칼드리치	범죄에는 다 사회적 맥락이 있는 법이다.^너도 지금 제국 법률에 의하면 범죄자가 아니더냐.	
lucius	-	루키어스	…….	
karldrich	-	칼드리치	늑대인간이라면 말은 통할 테니 일단 왜 그랬는지 가서 들어보자고. 정말 나쁜 녀석들이라면 나도 거들어주마.	
*	FO			
*	BG	City_Night		
*	FI			
lucius	-	루키어스	슬슬 출발하도록 할까.	
blank	-	-	밤이 깊은 시각, 늑대인간들이 한창 활동할 시간대에 우리 둘은 저택을 나섰다.	
blank	-	???	자, 잠깐만요.	
blank	-	-	아까의 꼬마가 짐을 바리바리 싸들고 서 있었다.	
curi	-	???	…….	
lucius	-	루키어스	아, 큐리구나. 아직 안 자고 있었어?	
karldrich	-	칼드리치	흥, 너답지 않은 친절한 말투로군.	
lucius	-	루키어스	흠흠, 난 선량한 사람에게는 항상 친절하지.	
blank	-	-	말은 그렇게 하지만 어색한 기색이 역력하다.^무뚝뚝한 성미에 안 맞게 나긋나긋한 말투로 대하느라 고생하는군.	
curi	-	큐리	저도, 같이 갈 거에요!	
karldrich	-	칼드리치	지금 우리가 뭐 하러 가는지는 알고 하는 말이냐?	
curi	-	큐리	물론이죠. 늑대인간들을 혼내주러 가는 거잖아요? 들어서 다 안다고요.	
lucius	-	루키어스	하하, 걱정은 고맙지만 도와주지 않아도 두 명으로 충분해.^게다가 혹시라도 네게 무슨 일이 생기면 아버지가 걱정하지 않겠니?	
blank	-	-	녀석 딴에는 좋은 말로 돌려보낼 계획인가보지만 꼬맹이는 눈 하나 깜빡하지 않고 받아쳤다.	
curi	-	큐리	흥, 그럴 리가요. 그 인간이 그럴 사람이었으면 제가 오빠를 따라가려고 하지도 않았을 거예요.	
lucius	-	루키어스	…….	
blank	-	-	말문이 막힌 채 심각한 표정이다. 내가 모르는 뭔가가 있나본데.	
lucius	-	루키어스	알겠어. 일단 같이 가자.	
karldrich	-	칼드리치	야, 어쩔 셈이야?	
lucius	-	루키어스	이번 기회에 바깥 세상이 얼마나 험한지 알게 해 주는 것도 좋겠지.^그러면 디아즈 씨를 좀더 이해해 줄지도 모르고.	
curi	-	큐리	우……. 아무리 루키 오빠라도 절 무시하면 그냥은 못 넘어가요.^지금까지 터득한 걸 제대로 보여드리죠!	
*	FO			
*	BGM	Script_Prelude		
*	BG	RockMountain_Night		
*	FI			
karldrich	-	칼드리치	이 자식, 위치를 알고 있나 했더니 무작정 돌아다니는 거였냐?	
lucius	-	루키어스	인간에게 적대적인 녀석들이니 먼저 덤벼들겠지.^큐리도 있으니까 우리가 작정하고 자기들을 공격하러 왔다는 생각은 못 할 거야.	
karldrich	-	칼드리치	……흠, 그래서 데려온 거였냐.	
karldrich	-	칼드리치	(앞뒤 안 가리는 바보인 줄 알았는데 그 정도는 아니었군.)	
curi	-	큐리	잠깐 조용히 해 봐요.	
blank	-	???	크큭. 이 시간에 나돌아다니다니 겁이 없군.	
furry	-	늑대인간	가진 걸 전부 내놓으면 몸은 성하게 보내 주지.^우리도 불필요한 피를 보는 건 원하지 않는다.	
karldrich	-	칼드리치	야, 함정에 걸린 건 우리가 아니라 너희다.^왜 산적질을 하는지 납득할 만한 설명을 내놓으면 용서할지 말지는 생각해 보마.	
blank	-	-	어두워서 시각만으로 분간하기는 어렵지만, 기척은 생각보다 많았다.	
furryElder	-	늑대인간 우두머리	허어, 우리를 노리고 여기까지 왔단 말인가. 어리석군.	
lucius	-	루키어스	일단 힘의 차이를 알게 해 줄 필요가 있겠군.	
blank	-	-	걱정하는 기색은 전혀 없다.^그만한 검술을 익히고서 상대 무리의 기척을 모를 리는 없고,^상대가 몇 명이든 지지 않는다는 자신감이시군.	
blank	-	-	확실히, 귀족 주제에 싸움질 하나는 도가 튼 녀석이다.^비무장 민간인에게나 산적질을 하던 일당 상대라면 문제 없으리라.	
karldrich	-	칼드리치	짜식, 일단 믿어 보마.	
curi	-	큐리	저, 실전은 안 해봐서 위력 조절이 잘 될지는 모르겠는데요…….	
lucius	-	루키어스	지금이 실전이지. 부탁한다!	
*	Battle	10		
